pid,model,price,country_code,country,region,incomegroup,scraped_date
8,Carta regalo Apple Store,Acquista una carta regalo App Store,it,Italy,Europe & Central Asia,High income,52:24.6
9,Apple Watch SE,da € 309,it,Italy,Europe & Central Asia,High income,52:24.6
10,Apple Watch Series 3,da € 229,it,Italy,Europe & Central Asia,High income,52:24.6
11,Cinturino Sport,€ 49,it,Italy,Europe & Central Asia,High income,52:24.6
12,iPad,da € 389,it,Italy,Europe & Central Asia,High income,52:24.6
13,iPad Pro,da € 899,it,Italy,Europe & Central Asia,High income,52:24.6
14,Apple Pencil (seconda generazione),€ 135,it,Italy,Europe & Central Asia,High income,52:24.6
15,"iMac 24""²",da € 1.499,it,Italy,Europe & Central Asia,High income,52:24.6
16,MacBook Air,da € 1.159,it,Italy,Europe & Central Asia,High income,52:24.6
17,Magic Mouse,€ 85,it,Italy,Europe & Central Asia,High income,52:24.6
0,iPhone 13,"À partir de 782,26 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
1,iPhone SE,"À partir de 472,83 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
2,iPhone 12,"À partir de 666,22 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
3,AirPods(3ᵉ génération),"192,42 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
4,AirPods Pro,"269,78 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
5,AirPods(2ᵉ génération),"144,07 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
6,Apple TV HD,"153,74 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
7,Apple TV 4K,"192,42 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
8,Apple Watch SE,"À partir de 289,12 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
9,Apple Watch Series 3,"À partir de 211,76 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
10,Bracelet Sport,"47,39 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
11,iPad,"À partir de 376,14 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
12,iPad Pro,"À partir de 869,29 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
13,Apple Pencil (2ᵉ génération),"130,54 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
14,iMac 24 pouces²,"À partir de 1 401,10 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
15,MacBook Air,"À partir de 1 091,68 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
16,Magic Mouse,"82,19 €",lu,Luxembourg,Europe & Central Asia,High income,52:27.5
0,iPhone 13 Pro,"Desde $25,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
1,iPhone SE,"Desde $10,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
2,iPhone 12,"Desde $14,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
3,AirPods(tercera generación),"$4,499 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
4,AirPods Pro,"$5,999 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
5,AirPods(segunda generación),"$3,299 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
6,AirPods Max,"$13,699 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
7,Apple TV 4K,"$4,499 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
8,Tarjetas App Store & iTunes,Comprar Tarjeta App Store & iTunes,mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
9,Apple Watch SE,"Desde $7,499",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
10,Apple Watch Series 3,"Desde $4,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
11,Correa deportiva,"$1,199 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
12,iPad,"Desde $8,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
13,iPad Pro,"Desde $20,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
14,Apple Pencil (segunda generación),"$3,299 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
15,iMac²,"Desde $33,499",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
16,MacBook Air,"Desde $25,999",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
17,Magic Mouse,"$1,999 ",mx,Mexico,Latin America & Caribbean,Upper middle income,52:29.0
0,iPhone 13,Vanaf € 809,nl,Netherlands,Europe & Central Asia,High income,52:31.7
1,iPhone SE,"Vanaf € 492,10",nl,Netherlands,Europe & Central Asia,High income,52:31.7
2,iPhone 12,Vanaf € 689,nl,Netherlands,Europe & Central Asia,High income,52:31.7
3,AirPods(3e generatie),€ 199,nl,Netherlands,Europe & Central Asia,High income,52:31.7
4,AirPods Pro,€ 279,nl,Netherlands,Europe & Central Asia,High income,52:31.7
5,AirPods(2e generatie),€ 149,nl,Netherlands,Europe & Central Asia,High income,52:31.7
6,Apple TV HD,€ 159,nl,Netherlands,Europe & Central Asia,High income,52:31.7
7,Apple TV 4K,€ 199,nl,Netherlands,Europe & Central Asia,High income,52:31.7
8,Apple Watch SE,Vanaf € 299,nl,Netherlands,Europe & Central Asia,High income,52:31.7
9,Apple Watch Series 3,Vanaf € 219,nl,Netherlands,Europe & Central Asia,High income,52:31.7
10,Sportbandje,€ 49,nl,Netherlands,Europe & Central Asia,High income,52:31.7
11,iPad,Vanaf € 389,nl,Netherlands,Europe & Central Asia,High income,52:31.7
12,iPad Pro,Vanaf € 899,nl,Netherlands,Europe & Central Asia,High income,52:31.7
13,Apple Pencil (2e generatie),€ 135,nl,Netherlands,Europe & Central Asia,High income,52:31.7
14,24-inch iMac²,Vanaf € 1.449,nl,Netherlands,Europe & Central Asia,High income,52:31.7
15,MacBook Air,"Vanaf € 1.129,10",nl,Netherlands,Europe & Central Asia,High income,52:31.7
16,Magic Mouse,€ 85,nl,Netherlands,Europe & Central Asia,High income,52:31.7
0,iPhone 13,Fra kr 8 490,no,Norway,Europe & Central Asia,High income,52:33.1
1,iPhone SE,Fra kr 4 990,no,Norway,Europe & Central Asia,High income,52:33.1
2,iPhone 12,Fra kr 6 990,no,Norway,Europe & Central Asia,High income,52:33.1
3,AirPods(3. gen.),kr 1 990,no,Norway,Europe & Central Asia,High income,52:33.1
4,AirPods Pro,kr 2 990,no,Norway,Europe & Central Asia,High income,52:33.1
5,AirPods(2. gen.),kr 1 450,no,Norway,Europe & Central Asia,High income,52:33.1
6,Apple TV HD,kr 1 690,no,Norway,Europe & Central Asia,High income,52:33.1
7,Apple TV 4K,kr 1 990,no,Norway,Europe & Central Asia,High income,52:33.1
8,Apple Watch SE,Fra kr 3 290,no,Norway,Europe & Central Asia,High income,52:33.1
9,Apple Watch Series 3,Fra kr 2 290,no,Norway,Europe & Central Asia,High income,52:33.1
10,Sport Band,kr 499,no,Norway,Europe & Central Asia,High income,52:33.1
11,iPad,Fra kr 3 990,no,Norway,Europe & Central Asia,High income,52:33.1
12,iPad Pro,Fra kr 8 990,no,Norway,Europe & Central Asia,High income,52:33.1
13,Apple Pencil (2. gen.),kr 1 499,no,Norway,Europe & Central Asia,High income,52:33.1
14,24-tommers iMac²,Fra kr 15 290,no,Norway,Europe & Central Asia,High income,52:33.1
15,MacBook Air,Fra kr 11 990,no,Norway,Europe & Central Asia,High income,52:33.1
16,Magic Mouse,kr 949,no,Norway,Europe & Central Asia,High income,52:33.1
0,iPhone 13,"From ₱44,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
1,iPhone SE,"From ₱26,490",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
2,iPhone 12,"From ₱38,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
3,AirPods(3rd generation),"₱10,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
4,AirPods Pro,"₱14,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
5,AirPods(2nd generation),"₱7,690",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
6,Apple TV HD,"₱8,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
7,Apple TV 4K,"₱10,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
8,Apple Watch SE,"From ₱15,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
9,Apple Watch Series 3,"From ₱11,490",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
10,Sport Band,"₱2,790",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
11,iPad,"From ₱19,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
12,iPad Pro,"From ₱45,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
13,Apple Pencil (2nd generation),"₱7,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
14,24-inch iMac²,"From ₱73,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
15,MacBook Air,"From ₱54,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
16,Magic Mouse,"₱3,990",ph,Philippines,East Asia & Pacific,Lower middle income,52:35.1
0,iPhone 13,Od 3599 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
1,iPhone SE,Od 2199 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
2,iPhone 12,Od 3149 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
3,AirPods(3. generacji),949 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
4,AirPods Pro,1249 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
5,AirPods(2. generacji),649 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
6,Apple TV HD,749 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
7,Apple TV 4K,899 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
8,Apple Watch SE,Od 1349 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
9,Apple Watch Series 3,Od 999 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
10,Pasek sportowy,199 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
11,iPad,Od 1699 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
12,iPad Pro,Od 3899 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
13,Apple Pencil (2. generacji),619 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
14,iMac 24 cale²,Od 6799 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
15,MacBook Air,Od 5199 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
16,Magic Mouse,399 zł,pl,Poland,Europe & Central Asia,High income,52:38.9
0,iPhone 13,Desde 829 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
1,iPhone SE,Desde 499 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
2,iPhone 12,Desde 709 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
3,AirPods(3.ª geração),199 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
4,AirPods Pro,279 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
5,AirPods(2.ª geração),149 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
6,Apple TV HD,159 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
7,Apple TV 4K,199 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
8,Apple Watch SE,Desde 309 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
9,Apple Watch Series 3,Desde 229 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
10,Bracelete desportiva,49 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
11,iPad,Desde 399 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
12,iPad Pro,Desde 909 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
13,Apple Pencil (2.ª geração),135 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
14,iMac de 24 polegadas²,Desde 1499 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
15,MacBook Air,Desde 1159 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
16,Magic Mouse,85 €,pt,Portugal,Europe & Central Asia,High income,52:40.0
0,iPhone 13 Pro,От 99 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
1,iPhone SE,От 39 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
2,iPhone 12,От 54 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
3,AirPods(3‑го поколения),16 490 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
4,AirPods Pro,24 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
5,AirPods(2‑го поколения),12 490 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
6,Apple TV HD,13 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
7,Apple TV 4K,16 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
8,Подарочные карты iTunes,Купить подарочную карту App Store & iTunes,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
9,Apple Watch SE,От 24 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
10,Apple Watch Series 3,От 17 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
11,Спортивный ремешок,3900 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
12,iPad,От 30 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
13,iPad Pro,От 77 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
14,Apple Pencil (2‑го поколения),11 490 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
15,iMac 24 дюйма²,От 129 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
16,MacBook Air,От 99 990 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
17,Мышь Magic Mouse,7900 pyб.,ru,Russia,Europe & Central Asia,Upper middle income,52:41.1
0,iPhone 13,Från 8 595 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
1,iPhone SE,Från 5 075 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
2,iPhone 12,Från 7 395 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
3,AirPods(tredje generationen),2 095 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
4,AirPods Pro,3 195 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
5,AirPods(andra generationen),1 595 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
6,Apple TV HD,1 695 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
7,Apple TV 4K,1 995 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
8,Apple Watch SE,Från 3 195 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
9,Apple Watch Series 3,Från 2 295 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
10,Sportband,495 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
11,iPad,Från 3 995 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
12,iPad Pro,Från 9 495 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
13,Apple Pencil (andra generationen),1 495 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
14,iMac 24 tum²,Från 15 995 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
15,MacBook Air,Från 12 495 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
16,Magic Mouse,895 kr,se,Sweden,Europe & Central Asia,High income,52:42.1
0,iPhone 13,"เริ่มต้นที่ ฿25,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
1,iPhone SE,"เริ่มต้นที่ ฿14,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
2,iPhone 12,"เริ่มต้นที่ ฿21,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
3,AirPods(รุ่นที่ 3),"฿6,790",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
4,AirPods Pro,"฿8,992",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
5,AirPods(รุ่นที่ 2),"฿4,990",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
6,Apple TV HD,"฿5,600",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
7,Apple TV 4K,"฿6,700",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
8,Apple Watch SE,"เริ่มต้นที่ ฿9,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
9,Apple Watch Series 3,"เริ่มต้นที่ ฿6,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
10,สายแบบ Sport Band,"฿1,600",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
11,iPad,"เริ่มต้นที่ ฿11,400",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
12,iPad Pro,"เริ่มต้นที่ ฿27,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
13,Apple Pencil (รุ่นที่ 2),"฿4,490",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
14,iMac รุ่น 24 นิ้ว²,"เริ่มต้นที่ ฿42,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
15,MacBook Air,"เริ่มต้นที่ ฿32,900",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
16,Magic Mouse,"฿2,490",th,Thailand,East Asia & Pacific,Upper middle income,52:44.3
0,iPhone 13 Pro,Başlangıç fiyatı: 21.499 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
1,iPhone SE,Başlangıç fiyatı: 7.799 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
2,iPhone 12,Başlangıç fiyatı: 13.499 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
3,AirPods(3. nesil),2.599 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
4,AirPods Pro,3.799 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
5,AirPods(2. nesil),1.899 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
6,Apple TV HD,2.449 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
7,Apple TV 4K,2.899 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
8,App Store ve iTunes Hediye Kartı satın alın,App Store ve iTunes Hediye Kartı satın alın,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
9,Apple Watch SE,Başlangıç fiyatı: 4.199 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
10,Apple Watch Series 3,Başlangıç fiyatı: 2.949 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
11,Spor Kordon,499 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
12,iPad,Başlangıç fiyatı: 5.199 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
13,iPad Pro,Başlangıç fiyatı: 11.999 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
14,Apple Pencil (2. nesil),1.519 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
15,24 inç iMac²,Başlangıç fiyatı: 18.999 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
16,MacBook Air,Başlangıç fiyatı: 14.999 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
17,Magic Mouse,1.089 TL,tr,Turkey,Europe & Central Asia,Upper middle income,52:45.3
0,Iphone13 pro,$829 ,us,United States,North America,High income,52:47.0
1,iPhone SE,$399 ,us,United States,North America,High income,52:47.0
2,iPhone 12,$599 ,us,United States,North America,High income,52:47.0
3,AirPods(3rd generation),$179 ,us,United States,North America,High income,52:47.0
4,AirPods Pro,$249 ,us,United States,North America,High income,52:47.0
5,Apple AirPods (2nd Generation),$129 ,us,United States,North America,High income,52:47.0
6,AirPods Max,$549 ,us,United States,North America,High income,52:47.0
7,Television,$179 ,us,United States,North America,High income,52:47.0
8,Apple Watch SE (2nd Gen),$279 ,us,United States,North America,High income,52:47.0
9,Apple Watch Series 3,$299 ,us,United States,North America,High income,52:47.0
10,Sport Band,$49 ,us,United States,North America,High income,52:47.0
11,iPad,$329 ,us,United States,North America,High income,52:47.0
12,"MacBook Air 13.3"" Laptop",$799 ,us,United States,North America,High income,52:47.0
13,Apple Pencil (2nd generation),$129 ,us,United States,North America,High income,52:47.0
14,24-inch iMac²,"$1,299 ",us,United States,North America,High income,52:47.0
15,MacBook Air,$99 ,us,United States,North America,High income,52:47.0
16,Magic Mouse,$79 ,us,United States,North America,High income,52:47.0
